Comparison of Federal Revenue by State,,,,
in the United States,,,,
Fiscal Year 2009,,,,
Amounts in $ billion,,,,
State,Total IRS Tax Collected,Business Income Tax,Individual Income & Employment Tax,Abbreviation
All states combined,"$2,345.30 ",$225.50 ,"$2,048.60 ","$2,048.60 "
California,$264.90 ,$27.10 ,$230.20 ,CA
Texas,$200.50 ,$24.20 ,$158.80 ,TX
New York,$193.40 ,$18.20 ,$171.60 ,NY
Illinois,$116.10 ,$13.00 ,$100.70 ,IL
Florida,$110.20 ,$4.40 ,$103.00 ,FL
Pennsylvania,$106.60 ,$10.60 ,$93.00 ,PA
Ohio,$103.60 ,$8.80 ,$91.40 ,OH
New Jersey,$103.50 ,$15.00 ,$87.10 ,NJ
Massachusetts,$70.10 ,$5.00 ,$63.80 ,MA
Minnesota,$67.60 ,$8.90 ,$57.10 ,MN
North Carolina,$63.30 ,$9.00 ,$53.80 ,NC
Georgia,$59.50 ,$5.70 ,$51.60 ,GA
Virginia,$58.60 ,$7.20 ,$50.70 ,VA
Michigan,$56.10 ,$3.40 ,$52.10 ,MI
Washington,$48.60 ,$5.20 ,$42.60 ,WA
Connecticut,$44.70 ,$4.80 ,$39.10 ,CT
Maryland,$44.50 ,$2.20 ,$41.70 ,MD
Missouri,$44.30 ,$3.90 ,$39.00 ,MO
Tennessee,$44.00 ,$3.70 ,$39.40 ,TN
Indiana,$42.10 ,$2.90 ,$38.70 ,IN
Wisconsin,$38.60 ,$3.30 ,$34.70 ,WI
Colorado,$38.50 ,$2.90 ,$34.00 ,CO
Louisiana,$34.90 ,$1.30 ,$33.00 ,LA
Arizona,$32.40 ,$2.50 ,$28.60 ,AZ
Arkansas,$25.70 ,$5.50 ,$19.40 ,AR
Oklahoma,$24.30 ,$2.40 ,$17.90 ,OK
Kentucky,$23.30 ,$1.40 ,$21.50 ,KY
Oregon,$21.70 ,$1.10 ,$20.20 ,OR
Kansas,$20.40 ,$1.30 ,$17.80 ,KS
Alabama,$20.10 ,$0.70 ,$19.10 ,AL
District of Columbia,$19.50 ,$1.50 ,$17.90 ,"$2,048.60 "
South Carolina,$17.80 ,$0.90 ,$16.50 ,SC
Iowa,$17.60 ,$1.40 ,$16.00 ,IA
Nebraska,$16.20 ,$3.90 ,$12.10 ,NE
Utah,$14.30 ,$0.70 ,$12.90 ,UT
Nevada,$13.80 ,$0.70 ,$12.80 ,NV
Delaware,$13.70 ,$2.70 ,$10.80 ,DE
Rhode Island,$10.90 ,$2.70 ,$8.10 ,RI
Mississippi,$9.60 ,$0.60 ,$8.70 ,MS
New Hampshire,$8.70 ,$0.50 ,$8.10 ,NH
New Mexico,$8.20 ,$0.30 ,$7.70 ,NM
Idaho,$6.90 ,$0.50 ,$6.20 ,ID
Hawaii,$6.70 ,$0.40 ,$6.10 ,HI
West Virginia,$6.30 ,$0.40 ,$5.90 ,WV
Maine,$6.10 ,$0.20 ,$5.70 ,ME
South Dakota,$4.90 ,$0.20 ,$4.70 ,SD
Alaska,$4.70 ,$0.20 ,$4.40 ,AK
Montana,$4.10 ,$0.20 ,$3.90 ,MT
North Dakota,$4.10 ,$0.30 ,$3.80 ,ND
Wyoming,$3.80 ,$0.20 ,$3.40 ,WY
Vermont,$3.40 ,$0.20 ,$3.10 ,VT
Legend:,,,,
 e - estimated from 2002 values,,,,
 a - actual reported by data source,,,,
